Page,Family,EnglishCommon,LatinSpecies,Length,Voice,Notes,,
169,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Spotted Redshank,Tringa erythropus,12.5,"Flight call a husky ""chuwit"" or ""kawit""; very similar to Semipalmated Plover but harder, stronger, deeper. On rising sometimes gives a chuckling ""chu chu"" or loud, slightly husky ""kweep kip kip"". Display song varied; includes shrill, grinding ""krr-WEEa"" phrases and short bouts of sharp notes.",,,
169,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Wood Sandpiper,Tringa glareola,8.1,"Flight call a series of several high, slightly husky whistled notes all on one pitch ""teef teef teef""; lower-pitched and less strident than Solitary Sandpiper, higher and more drawn-out than call of Lesser Yellowlegs. Alarm a sharper ""kew"" repeated. Song short whistles in rapid rolling chant ""pidilo-pidilo-pidilo..."".",,,
170,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Spotted Sandpiper,Actitis macularius,7.5,"Flight call a high, clear, whistled ""twii twii"" or a descending series ""peet weet weet""; lazier and lower-pitched than Solitary; often a single note ""peet"" or repeated whistle ""pweet, pweet…."". Display song a rolling, clear, whistled ""tototowee, tototowee..."".",,,
170,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Terek Sandpiper,Xenus cinereus,9.1,"Flight call a rapid series of clear piping whistles, nearly a trill ""lidididid"", very similar to Wandering Tattler, but notes all on one pitch.",,,
170,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Common Sandpiper,Actitis hypoleucos,7.9,"Flight call a descending series of strident whistles, higher-pitched than Spotted, more like Solitary ""peet-weet weet"".",,,
171,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Upland Sandpiper,Bartramia longicauda,12,"Flight call a low, strong, liquid ""qui-di-di-du""; last note lower and weaker; distinctively loud and clear. Alarm a nasal, growling ""grrgrrgrrgrrgrr"". Flight song a weird, unearthly, bubbling whistle, slowly rising then falling ""bububuLEE-hLEEyooooooo"".",,,
171,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Little Curlew,Numenius minutus,12.6,"Flight call a melodic, two-syllabled, upslurred whistle ""pwee-wheet"".",,,
172,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Whimbrel,Numenius phaeopus,17.5,"Flight call a rapid, forceful, liquid ""quiquiquiquiqui"" with no change in pitch. Chase call, given in flight, a series of short, varied whistles and trilled notes. Display song a low, clear whistle ""oook"" repeated, followed by long trill and often ending with several emphatic high whistled phrases; also a low, vibrato whistled followed by slightly higher trill given frequently on nesting grounds (e.g., when landing).",,,
173,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Bristle-thighed Curlew,Numenius tahitiensis,17,"Flight call a clear, insistent whistle of even emphasis ""teeoip""; remarkably like human attention whistle; lower than Black-bellied Plover and quite different in character. Display flight soaring; begins with about five ""wiiteew"" notes, then repeated, complex ""pidl WHIDyooooo"".",,,
173,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Long-billed Curlew,Numenius americanus,23,"Flight calls clear whistles, mst commonly a short, rising ""coooLI"" with sharp rise at end. Also ""kwid wid wid wid"", a loud, whistled ""wrrreeep"", and variations. Song of low, rich, whistled notes building to long, slurred whistle ""r pr pr pr pr prrreeeep prrrreeeeeerrr"".",,,
174,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Bar-tailed Godwit,Limosa lapponica,16,"Calls creaking, nasal. Flight call ""kee kee kaa"" or ""kooy kooy kooy"" very similar to Hudsonian but slightly lower-pitched and with more even pitch. Display song more melodic and varied in rhythm and pitch than other godwits.",,,
174,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Black-tailed Godwit,Limosa limosa,16.5,"Calls rather strident, nasal, mewing; most commonly ""weeka weeka weeka""; variety of other short notes includes soft ""kaa"" with mewing quality and sharper ""kip"". Display song of repeated two- or three-syllable phrases.",,,
175,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Hudsonian Godwit,Limosa haemastica,15.5,"Flight call high falsetto ""kwidWID"" or ""kweh-weh"" and variations., each syllable rising; higher-pitched than other godwits; also high ""week"" or ""kwee"" like Black-necked Stilt but softr. Display song a repeated three-syllable phrase.",,,
175,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Marbled Godwit,Limosa fedoa,18,"In flight tentative, hoarse, trumpeting ""kweh"" or ""kaaWEK"" like Laughing Gull; lower-pitched than other godwits. Rolling series with nasal quality ""kowEto kowEto…"" and soft ""ked ked…"" combined into long, alternating series in territorial chase.",,,
176,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Black Turnstone,Arenaria melanocephala,9.25,"Flight call a shrill, high chatter ""keerrt"" similar to high call of Belted Kingisher; higher and more clicking than Ruddy. Threat a long, low rattle with slight pitch changes ""krkrkrkrkrkrkr…""; also clear, nasal WEEpa WEEpa WEEpa…."". Song a long trill or rattle, changing pitch a few times.",,,
176,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Ruddy Turnstone,Arenaria interpres,9.5,"Flight call a relatively low, mellow, bouncing rattle; more nasal, harder than Short-billed Dowitcher. Also a single, sharp ""klew"" or hard, nasal ""gaerrt"". Threat a long, low rattle ""k-k-k-k-k-k-k-k"". Flight song a long, rolling rattle.",,,
177,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Wandering Tattler,Tringa incana,11,"Flight call a high, clear piping of about five notes in slightly descending series, a rapid, almost unbroken trill ""kwididididid""; also a sharp, high ""klee-ik"". Flight song a ringing, whistled ""deedle-deedle-deedle-dee"".",,,
177,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Gray-tailed Tattler,Tringa brevipes,10,"Flight call pitch and quality similar to Wandering Tattler, but only one or two drawn-out rising whistled notes ""kewee"" or ""kewee-kwee"", unlike the rapid five-note series of Wandering.",,,
177,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Great Knot,Calidris tenuirostris,10.8,Rarely heard.,,,
178,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Rock Sandpiper,Calidris ptilocnemis,9,"Voice not know to differ from Purple Sandpiper, though flight calls may be slightly higher-pitched. Pribilof populations flight call a coarse, husky ""cherk"" sometimes more whistled; flight song of low, growling trills, a series of about ten rising ""grreee"" notes followed by similar low ""grrdee"" notes.",,,
179,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Purple Sandpiper,Calidris maritima,9,"Flight call a scratchy, low ""keesh"" or sharper ""kwititit-kwit"". Feeding birds give soft, scratchy notes. Chase call a higher-pitched ""kif-kif-kif"", not very aggressive. Display song a Dunlin-like wheezing and trilling with several changes in rhythm; also rapid laugh ""pupupupupu..."".",,,
179,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Surfbird,Calidris virgata,10,"Contact calls soft and inconspicuous. Flight call a soft ""iif iif iff…"". Feeding flock gives constant chatter of high, nasal squeaks. Flight song nasal, buzzy notes in series ""kwii kwii kwii kwirr kwirr kwirr kwirr skrii skrii skrii kikrrri kikrrri kikrrri kikrrri;"" Similar phrases given in other siutations, e.g., alarm.",,,
180,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Red-necked Stint,Calidris ruficollis,6.25,"Flight call a high, scraping ""quilt"" most like Western Sandpiper but huskier; variable and may overlap with oher species. Display song a long, steady repetition of short ""yek"" notes or low, almost whistled ""huee huee huee…"" series.",,,
180,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Little Stint,Calidris minuta,6,"Flight call a thin, short ""tit"" or ""stit""; other variations similar to Red-necked. Threat a high, weak, level ""tee tee tee tee"". Display song includes series of high, thin, squeaky notes ""tsee-tsee-tsee…""; recalls distant Arctic Tern courtship.",,,
181,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Temminck's Stint,Calidris temminckii,6.2,Flight call a dry rattle.,,,
181,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Long-toed Stint,Calidris subminuta,6,Flight call a musical trill like Least Sandpiper but lower-pitched and not rising.,,,
182,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Western Sandpiper,Calidris mauri,6.5,"Call typically a thin, high, harsh ""cheet"". Feeding flock emits a constant twitter of quiet, scratchy notes. In high aggression, gives peevish, weak, rising ""twee twee twee twee"". Display song scratchy, weak, thin; shorter and simpler than Semipalmated's song, with higher, weaker quality.",,,
182,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Semipalmated Sandpiper,Calidris pusilla,6.25,"Typical flight call a short, husky ""chrup"" or ""chrf""; also gives sharp, thin ""cheet"" similar to Western. Feeding flock very vocal with rapid, giggling/arguing ""twee do do do do"". Display song a continuous rolling trill of varying pitches ""grrridigrrrridi..."".",,,
183,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Least Sandpiper,Calidris minutilla,6,"Typical flight call a high, trilled ""prreep""; gentle, rising, and musical. Flock in wheeling flight gives short, weak, high notes in rapid twittering chorus. Threat rapid, giggling, high ""didididi"". Display song similar to dowitchers: ""b-b-b-trree-trree-trree""; each phrase rising but the series level.",,,
183,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Sanderling,Calidris alba,8,"Common call a short, hard ""klit"" or ""kwit"". Feeding flock gives high, scratchy ""tiv"" calls. Threat a high, thin, relatively slow ""twee twee twee…"". Flight song complex: short bursts of churring and trilling with croaking or hissing sounds.",,,
184,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Pectoral Sandpiper,Calidris melanotos,8.75,"Flight call a rather low, rich, reedy, harsh trill ""drrup"" or ""jrrff"". Threat a low, soft ""goit goit goit"". Display song in low flight a remarkable, rapid, foghorn-like hooting ""ooah ooah…"" continuing 10 to 15 seconds; more complex harsh and hooting calls from ground.",,,
184,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Sharp-tailed Sandpiper,Calidris acuminata,8.5,"Flight call a soft ""weep"" or ""chewt""; higher, more musical than Pectoral; also high trills, often in short, twittering sequence. Flight song includes long, rhythmic trill and shrt, low-pitched ""hoot"".",,,
185,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Baird's Sandpiper,Calidris bairdii,7.5,"Flight call a rough ""kreep""; reminiscent of Pectoral Sandpiper but higher-pitched, drier, more distinctly trilled. Flight song a series of buzzy, rising notes and long, level rattling.",,,
185,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",White-rumped Sandpiper,Calidris fuscicollis,7.5,"Flight call distinctive, a very high, thin, mouse-like squeak ""tzeek"" or ""tseet"". Threat a very high, insect-like rattle ""t-k-k-k-k-k"". Flight song extremely high, mechanical, and insect-like.",,,
186,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Red knot,Calidris canutus,10.5,"Usually silent; sometimes a low, husky ""wett-wet"". Threat call a godwit-like ""kowet-kowet"". Display song a low, husky, whistled ""kw-wee, kh-where, kh-where…"".",,,
186,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Curlew Sandpiper,Calidris ferruginea,8.5,"Flight call a soft, musical ""chirrup""; more liquid than Dunlin, recalls Pectoral Sandpiper. Feeding flock gives constant chorus of low, soft notes. Song complex: chatter followd by harsh two-note hrases ending with several clear, rising ""whaaay"" notes; fundamentally similar to Stilt Sandpiper.",,,
187,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Dunlin,Calidris alpina,8.5,"Flight call distinctive, buzzy, rasping ""pjeev"". Threat call a low, hoarse ""gwrr-drr-drr-drr"". Display song (often heard on migration) a series of rolling, harsh trills ""jrrre jrrre jrrrijijijijijiji jijrrr jrrr jrrr"".",,,
188,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Buff-breasted Sandpiper,Calidris subruficollis,8.25,"Flight call a quiet ""greet"" similar to Pectoral and Baird's Sandpipers but dry, rattling; also a short ""chup"" and quiet ""tik"". Display includes rapid clicking noises.",,,
188,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Stilt Sandpiper,Calidris himantopus,8.5,"Flight all a low, soft, muffled, husky ""toof"" or ""jeew"", a quiet background noise among Lesser Yellowlegs; also a sharper wheezy ""keewf"" or a clearer, godwit-like ""koooWI"". Display song a remarkable series of nasal, dry, buzzy trills (quality like Surfbird).",,,
189,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Ruff,Caliidris pugnax,male 11; female 9,"Essentially silent. Flight call (rarely heard) a muffled croak or low grunt; sometimes a shrill, rising ""hoo-ee"".",,,
190,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Long-billed Dowitcher,Limnodromus scolopaceus,11.5,"Flight call a high, sharp ""keek"" or ""week"", sometimes repeated in accelerating quick, sharp series ""kik-kik-kik-kik"". Flock gives constant, soft chatter while feeding (Short-billed flock is quiet). Display song rapid and buzzy; sharper and higher than Short-billed.",,,
191,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Short-billed Dowitcher,Limnodromus griseus,11,"All calls lower than Long-billed. Flight call liquid, rapid ""kewtutu"" or ""tlututu"", slightly descending; also harder, level ""kitititi""; always faster than Lesser Yellowlegs; cadence recalls Ruddy Turnstone. Feeding flock is normally silent, but occasionally a single ""tu"" is heard (feeding Long-billed flock gives constant chatter of soft, high notes). Display song similar to Long-billed Dowitcher and Least Sandpiper: ""gididi drreee drrooo"", each phrase slightly rising but the series falling (Least Sandpiper series is level).",,,
192,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Wilson's Snipe,Gallinago delicata,10.5,"Flight call a dry, harsh, scraping ""scresh"" or ""kesh"". Display song from perch a loud ""TIKa TIKa TIKa…"" or ""kit kit kit…"". In winnowing flight display outer tail feathers produce hollow, low whistle ""huhuhuhuhuhuhuhuhuhu"" very similar to Boreal Owl's song.",,,
192,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Common Snipe,Gallinago gallinago,10.5,"Calls identical to Wilson's. Winnowing display produced by tail is lower-pitched with gruff, buzzing, nasal quality, reminiscent of bleating sheep; unlike the musical hooting sound of Wilson's.",,,
193,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Jack Snipe,Lymnocryptes minimus,7.3,"Usually silent when flushed, sometimes a harsh, quiet ""kesh"".",,,
193,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",American Woodcock,Scolopax minor,11,"Flight call absent. Wings produce a high twittering on takeoff and when making sharp turns in flight; higher-pitched and clearer than Mourning Dove. Displaying bird on ground gives explosive, very nasal ""beent"" similar to Common Nighthawk but level, less harsh.",,,
194,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Wilson's Phalarope,Phalaropus tricolor,9.25,"Flight call a low, muffled, nasal grunting or moaning ""wernf"", ""vint"", or ""vimp""; soft but distinctive, reminiscent of muffled Black Skimmer.",,,
195,"Charadriidae, Haematopodidae, Recurvirostridae, Jacanidae, Scolopacidae",Red Phalarope,Phalaropus fulicarius,8.5,"Flight call a distinct, high ""piik""; higher and clearer than Red-necked; like flat Long-billed Dowitcher; also a softer ""drret"". On breeding grounds a high, rising ""sweeep"" a bit tinny and nasal at start but finishing high and clear; also often a high, rough, buzzy ""jeee"" and ""pity pity pity pity"".",,,
198,Laridae,Ross's Gull,Rhodostethia rosea,13.5,"High and melodious. Some calls with hollow barking quality like Black-legged Kittiwake; soft, mellow barking ""p-dew"" or ""prrew"" and tern-like ""kik-kik-kik-kik-kik"". Generally silent in winter.",,,
198,Laridae,Sabine's Gull,Xema sabini,13.5,"Grating, buzzing or trilling tern-like ""kyeer, kyeer…""or grating ""krrr"". Juvenile call a high, clear trill ""dedededededer"" slightly descending at end.",,,
199,Laridae,Black-legged Kittiwake,Rissa tridactyla,17,"Hollow, nasal quality like Heermann's Gull. Rhythmic, repeated ""kitti-weeik…"" given frequently at or near nest site, often in chorus. Generally silent in winter.",,,
199,Laridae,Red-legged Kittiwake,Rissa brevirostris,15,"Much higher than Black-legged; a high, falsetto squeal""suWEEEr"" repeated. Generally silent in winter.",,,
200,Laridae,Little Gull,Hydrocoloeus minutus,11,"Grating or clear, nasal, most often a short ""kek"" like Black Tern. In display flight a clear, nasal ""teew"" and long series ""tew tew tikik tikik tikik tikeew tikeew…"".",,,
201,Laridae,Bonaparte's Gull,Chroicocephalus philadelphia,13.5,"Low, wooden, grating or rasping ""gerrrr"" or ""reek""; tern-like but lower-pitched than most terns. Also clear ""kew"" notes from flock. Juvenile gives high, somewhat nasal squeal ""peeeur"".",,,
201,Laridae,Black-headed Gull,Chroicocephalus ridibundus,16,"Harsh grating similar to Bonaparte's but lower, with richer quality like Laughing Gull.",,,
202,Laridae,Franklin's Gull,Leucophaeus pipixcan,14.5,"Voice nasal and laughing but hollow-sounding and less penetrating than Laughing Gull. Common call a short, hollow ""kowii"" or ""queel"". Long call descending and accelerating, each note rising; the series with much greater pitch change than Laughing Gull.",,,
203,Laridae,Laughing Gull,Leuophaeus atricilla,16.5,"Nasal laughing; common call of adults a two-syllable laugh ""kiiwa"" or ""kahwi"". Long call a laughing series, an iconic sound of southeastern shores, rapid then slowing.",,,
204,Laridae,Mew Gull,Larus canus,16,"Voice high and squealing with strident nasal quality, less harsh and more mewing than Ring-billed. Long call falsetto, ending with rapid series of short notes.",,,
205,Laridae,Mew Gull (Common),Larus canus,16,"Voice very similar to American, but may average lower-pitched and with more hollow sound; more mewing than Ring-billed, higher than Herring. Long call begins with high squeals, then rapid phrases about 4 per second.",,,
206,Laridae,Ring-billed Gull,Larus delawarensis,17.5,"High and rather hoarse with wheezy, scratchy quality; higher than California Gull; higher, harsher, less nasal than Mew. Long call level and rather slow; begins with long, high squeals, then rapid phrases (about 3 per second); ends with long, slurred notes. Alo a high ""kuleeeeuk"" repeated, and ""kleeeea"" or ""k-heeer"". Flight call a high, thin ""keeel"".",,,
207,Laridae,California Gull,Larus californicus,21,"Hoarse, scratchy, somewhat deeper than Ring-billed; harsher and higher than Herring; never clear tones. One common single note ""gaaal"" similar to Greart Black-backed. Long call rapid, high, wheezy.",,,
208,Laridae,Herring Gull,Larus argentatus,25,"Clear, flat bugling. Loong call higher, clearer, and more two-syllabled than Western; also single notes ""klooh"", ""klaaw"", and short, low, hollow ""kaaw"". Flight call trumpetng, lower than Ring-billed.",,,
209,Laridae,Herring Gull (Vega),Larus argentatus,25,Some short call notes hoarser than American. Long call posture like American.,,,
210,Laridae,Thayer's Gull,Larus thayeri,23,"Lower and flatter than Herring. Long call muffled, lower than Herring Gull; notes simple and flat, monotone. Rarely heard in winter.",,,
211,Laridae,Iceland Gull,Larus glaucoides,22,Similar to Herring but said to be more shrill; presumably similar to Thayer's. Rarely heard in winter.,,,
212,Laridae,Glaucous Gull,Larus hyperboreus,27,"Long call similar to Herring but slightly hoarser; lower-pitched than Iceland. Call note ""k-leee"" sharply two-part, with clucking first syllable, distinctive; higher and weaker than Herring.",,,
213,Laridae,Glaucous-winged Gull,Larus glaucescens,26,"Slightly flatter, more hollow-sounding than Western. Long call of Washington populations much like Western but slightly higher-pitched with longer notes. Long call of Siberian populations lower, slower (more like Slaty-backed).",,,
214,Laridae,Slaty-backed Gull,Larus schistisagus,25,Vitually identical to Siberian populations of Glaucous-winged. Long call lower and slower overall than Western.,,,
215,Laridae,Western Gull,Larus occidentalis,25,"Generally similar to Herring but notes a little more clipped, less drawn-out, lower, and less clear. Long call fairly flat, simple, and low. Adult in flight over roost gives deep, gruff ""ooowa"" or ""kwaow"" unlike high, clear notes of Herring.",,,
216,Laridae,Yellow-footed Gull,Larus livens,27,"Controlled and low with nasal, talking quality, not strident or squeaking; much lower and more nasal than Western. Long call of rapid one-syllable notes; differs from Western in lower pitch and lack of rough first segment of each phrase.",,,
217,Laridae,Lesser Black-backed Gull,Larus fuscus,21,"Guttural; slightly deeper and more nasal than Herring, but not as gruff as Great Black-backed. Long call begins with long, low note, then rapid, short, rising notes (about 4 per second), low and gruff. Some short calls nasal, hollow-sounding.",,,
218,Laridae,Great Black-backed Gull,Larus marinus,30,"Very deep, swallowed, hoarse; much lower than Herring. Long call slow and hoarse phrases (less than 3 per second); phrases poorly defined, each one fading. Common flight calls deep, gruff ""gowl"" or ""gawp"".",,,
219,Laridae,Heermann's Gull,Larus heermanni,19,"Low, hollow trumpeting. Common call a nasal ""yoww""; also a short ""yek"" and seies ""ye ye ye ye…"". Long calls like other large gulls but quality strikingly different.",,,
220,Laridae,Ivory Gull,Pagophila eburnea,17,"Somewhat grating and tern-like: a wheezy, high squeal or whistle strongly descending and sometimes slightly trilled ""wheeew"" or ""preeeo"".",,,
220,Laridae,Black-tailed Gull,Larus crassirostris,19,"Nasal, rasping mewing reminiscent of tomcat, higher than Herring Gull.",,,
221,Laridae,Kelp Gull,Larus dominicanus,24,"Similar to Herring Gull but hoarser. Call note a two- or three-syllable, staccato, repeated ""kwee-ah"". Long call noisier and higher than Yellow-footed, lower than Western.",,,
221,Laridae,Yellow-legged Gull,Larus michahellis,25,"Calls similar to Lesser Black-backed, deeper and gruffer than Herring. Long call display also similar to Lesser Black-backed, with bill raised beyond vertical.",,,
225,Laridae,Caspian Tern,Hydroprogne caspia,21,"Call a deep, very harsh, heron-like scream ""aaayayaum"". Juvenile call a high, thin, wheezy whistle ""sweeeea"" or ""fweeeee-er"" (heard Jul-Ar).",,,
226,Laridae,Royal Tern,Thalasseus maximus,20,"Call loud, throaty, rolling ""kerrra"" or lower ""koorrrick""; lower, longer than Sandwich; also soft ""youm"" or ""yeek"". Juvenile begging call two to three piping whistles; also high, ringing ""kerreeep"".",,,
226,Laridae,Elegant Tern,Thalasseus elegans,17,"Call a short, low, loud ""keerik""; very similar to Sandwhich but deeper. Juvenile gives insistent, thin, whistled ""sip sip sip…"" similar to Royal.",,,
227,Laridae,Sandwich Tern,Thalasseus sandvicensis,15,"Call ""keerik"" or ""krjik""; higher, more abrupt, and more grating than Royal (reminiscent of Roseate Tern). Juvenile begging call a high ""see see see"" like Royal; also a high, ringing ""kreep"".",,,
228,Laridae,Common Tern,Sterna hirundo,12,"All calls like Arctic and Forster's but richer, more musical, with slurred, two-syllable pattern. Common call a rich, high ""keeeyurr"" with obvious drop in pitch; a high ""kit"" or ""tyik"" and longer, deeper ""kiiw"". Adult courtship call a begging ""kerri kerri kerri..."". Attack call a hacking, dry ""k-k-k-k"".",,,
229,Laridae,Arctic Tern,Sterna paradisaea,12,"All calls like Common but higher, squeakier, drier. Common calls rather harsh and buzzy ""keeeyurr""; often clipped with sharper pitch change than Common; also ""kit"" or ""keek"" notes like Long-billed Dowitcher. Agitated bird gives rhythmic series ""titikerri titikerri..."". Attack call a dry, nasal ""raaaz"".",,,
230,Laridae,Forster's Tern,Sterna forsteri,13,"All calls similar to Common and Artic but lower, more wooden and rasping, one syllable. Common call a simple descending ""kerrr""; lower and more wooden-sounding than Common; also ""kit"" or ""kuit"". Adult courtship begging ""kerr kerr kerr"". Attack a very low, rasping ""zaaaar"".",,,
231,Laridae,Roseate Tern,Sterna dougallii,12.5,"Distinctive; abrupt, harsh, two-syllable calls: a rather soft and plover-like ""CHIvik"" or ""chewVI"" or a more insect-like ""skivvik"". Alarm a high, clear ""keer"". Attack a very harsh, rasping ""zhrrraaaaach"". Juvenile gives higher, more trilled ""dreewid"".",,,
231,Laridae,Least Tern,Sternula antillarum,9,"Common calls include a rapid, shrill, sharp ""piDEEK-adik"" or ""keDEEK"". Also a weak, nasal ""whididi""; high, sharp squeaks ""kweek"" or ""kwik"". Alarm a sharp, rising ""zreek"".",,,
232,Laridae,Gull-billed Tern,Gelochelidon nilotica,14,"Common call a distinctive, nasal yapping ""kayWEK""; higher and sharper than Black Skimmer. Alarm a rattling, rasping ""aach"". Juvenile begs with high, thin, two-syllable whistle ""see-lee"".",,,
232,Laridae,Aleutian Tern,Onychoprion aleuticus,12,"Common call a soft, whistled ""whidid"" or ""whididid"" slightly descending; reminiscent of shorebird or even House Sparrow rather than tern. Slightly harsher ""whirrr"" near nest.",,,
233,Laridae,Bridled Tern,Onychoprion anaethetus,15,"Common call a rather soft, mellow whistle: a rising, nasal ""weeeep""; quality like Sooty but higher softer.",,,
233,Laridae,Sooty Tern,Onychoprion fuscatus,16,"Calls nasal, laughing ""ka-weddy-weddy"" or rapid ""kaWEEda-WED""; higher than Gull-billed. Threat a nasal, rasping moan ""draaaaa"". Juvenile gives high, shrill ""wheeer"".",,,
234,Laridae,Black Tern,Chlidonias niger,9.75,"Call a harsh, sharp, scraping, complaining ""keff"" or ""keef"" and higher ""kyip""; reminiscent of Black-necked Stilt but higher.",,,
234,Laridae,White-winged Tern,Chlidonias leucopterus,9.5,"Calls short ""kesch"" and ""kek""; deeper and harsher than Black Tern.",,,
235,Laridae,Black Noddy,Anous minutus,13.5,"All calls of adults low, grunting, grating, or buzzing; a deep, rattling ""garrr"" and a rising croak ""brraak"". In courtship flight a grating, low ""nek nek ne nek nek nekrrr"". 1st year birds give high whistle ""tsooeek"" and high, clear squawk ""kweeer"".",,,
236,Laridae,Black Skimmer,Rynchops niger,18,"Call a distinctive, hollow, soft, nasal barking ""yep"" or ""yip"". Alarm a longer ""Aaaaw""; quality like Long-tailed Duck. Juvenile call a higher-pitched ""iip"", more squawky than adult.",,,
237,Laridae,Long-tailed Jaeger,Stercorarius longicaudus,15,"Generally silent away from breeding grounds. All calls higher than other jaegers. Common call a short, trilled ""krri""; also a nasal ""kee-ur"" like Red-shouldered Hawk, and sharp ""kl-dew"". Long call a rattling followed by long, plaintive ""feeeeoo"" notes"".",,,
238,Laridae,Parasitic Jaeger,Stercorarius parasiticus,16.5,"Generally silent away from breeding grounds. Pitch intermmediate between other jaegers. Common call a nasal ""Kewet, Kewet…"" similar to Gull-billed Tern, a little higher than Pomarine jaeger; also short barking ""gek"" notes. Long call includes nasal whining or crowing ""feee-leerrrr"".",,,
239,Laridae,Pomarine Jaeger,Stercorarius pomarinus,18.5,"Occasionally gives barking calls in winter. On breeding grounds a yelping ""vee-veef"", also a short, barking ""geck"" or complaining and wavering ""ehwewewewe"". Long calls a series of rising nasal ""week"" notes, unlike the other rising and falling notes of other jaegers.",,,
240,Laridae,South Polar Skua,Stercorarius maccormicki,21,"Generally silent away from breeding grounds. Sometimes gives a weak, nasal, gull-like ""haaasi"".",,,
241,Laridae,Great Skua,Stercorarius skua,23,"Generally silent away from breeding grounds. Short call a ""hek"". Long call a series of hort, nasal ""pyeh"" notes.",,,
243,Alcids,Pigeon Guillemot,Cepphus columba,13.5,Similar to Black Guillemot; no differences known.,,,
243,Alcids,Black Guillemot,Cepphus grylle,13,"Calls frequently near breeding areas: extremly high-pitched, thin, squeaky, or piping whistles; a drawn-out screaming whistle ""see-oo"" or ""swweeeeeer"" up to two seconds long. Also short ""sit sit sit…"" notes often leading into series, rising and accelerating the falling at end. Courting group sits on rocks or water and calls while displaying red mouth-lining.",,,
